SUPPLIER_NAME,SUPPLIER_CONTACT_NAME,CONTACT_EMAIL_NAME,CATEGORY,REFERENCE_NUMBER,SIZE,%NW,FREEZING_TYPE,NW,NW+GLAZING,PACKING
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,40%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,25%,NULL,NULL,NULL,5kg(5x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,25%,NULL,NULL,NULL,5kg(10X500g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,30%,NULL,NULL,NULL,5kg(5x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,40%,IQF,,,6kg(6x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,,NULL,NULL,NULL,12kg(12x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,,NULL,NULL,NULL,12kg(12x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,25%,NULL,NULL,NULL,5kg(5x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,40%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,40%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,40%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,40%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,40%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,12kg(12x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,,,6kg(6x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,,,6kg(6x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,10%,IQF,,,5kg(10x500g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",30/50pcs/lb,35%,IQF,650g,,7kg(10x700g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",10/35pcs/lb,35%,IQF,675g,,7kg(10x700g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",50/70pcs/lb,35%,IQF,,,7kg(10x700g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",70/110pcs/lb,35%,IQF,,,7kg(10x700g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",10/35pcs/lb,35%,IQF,,,4.2kg(6x700g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",30/55pcs/lb,NULL,IQF,NULL,,4.2kg(6x700g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",30/50pcs/lb,35%,IQF,,,4.2kg(30x140g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,2x4kg(4x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,2x4kg(4x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,2x4kg(4x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,2x4kg(4x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,2x4kg(4x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,8kg(2x4x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,12kg(12x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,12kg(12x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,2x4kg(4x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,8kg(2x4x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,8kg(2x4x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",50/70pcs/lb,35%,IQF,130g,,4.2kg(30x140g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,12kg(12x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,NONE,NONE,10kg(1x10kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,12kg(12x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,12kg(12x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,40%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,40%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,40%,NULL,NULL,NULL,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,,,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,2x4kg(4x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,12kg(12x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,12kg(12x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,12kg(12x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,NULL,NULL,NULL,12kg(12x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,NONE,NONE,10kg(1X10kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",50/75pcs/lb,32%,IQF,,,6.3kg(12x525g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",10/35pcs/lb,35%,IQF,,,"3.6kg (6x600g)"
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",10/35pcs/lb,43%,IQF,,,"3.6kg (6x600g)"
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,10%,IQF,,,"5kg(2x2,5kg)"
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,10%,IQF,,,5kg(10x500g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,10%,IQF,,,"5kg(2x2,5kg)"
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",30/55pcs/lb,35%,IQF,,,"4.2Kg (6x700g)"
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,,,6kg(6x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,10%,IQF,"2,25 kg","2,5 kg","5kg(2x2,5Kg)"
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",70/110pcs/lb,35%,IQF,325g,,4.2kg(30x140g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",70/100pcs/lb,35%,IQF,130g,,4.2kg(30x140g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",10/35pcs/lb,50%,IQF,,,3.9kg(6x650g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,40%,IQF,,,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",10/35pcs/lb,40%,IQF,,,4.2kg(6x700g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",50/75pcs/lb,40%,IQF,,,4.2kg(6x700g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",70/110pcs/lb,40%,IQF,,,4.2kg(6x700g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,700g,1kg,4x1kg
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,700g,1kg,4x2x1kg
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,,,4x2x1kg
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,700g,1kg,4X2X1kg
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,700g,1kg,2x4x1kg
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,700g,1kg,2x4x1kg
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,700g,1kg,2x4x1kg
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,40%,IQF,,1kg,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,40%,IQF,,1kg,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,40%,IQF,,1kg,10kg(10x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,50%,IQF,,1kg,6kg(6x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,50%,IQF,,1kg,6kg(6x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,50%,IQF,,1kg,6kg(6x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,50%,IQF,,1kg,6kg(6x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,10%,IQF,450g,500g,5kg(10x500g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,10%,IQF,"2,25kg","2,5kg","5kg(2x2,5kg)"
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",50/75pcs/lb,50%,IQF,600g,,4.8kg(12x400g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,700g,1kg,6kg(6x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,700g,1kg,6kg(6x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,700g,1kg,6kg(6x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,35%,IQF,,,6kg(30x200g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,38%,IQF,,,6kg(6x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,10%,IQF,,,5kg(10x500g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",70/110pcs/lb,40%,IQF,,,4.2kg(24x175g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",NULL,38%,IQF,,,6kg(6x1kg)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",10/35pcs/lb,40%,IQF,,,3.9kg(6x650g)
"NINGBO JIUZHOU FOOD CO.,LTD.",MR.CAI,,SHRIMP,"99 FROZEN RED SHRIMP PUD UNDEVEINED TREATED",30/55pcs/lb,40%,IQF,,,3.9kg(6x650g)
